"","s161_P3_258","s180_P2_392","s201_P2_195","s217_P2_360","s220_P3_264","s259_P1_379","s282_P2_631","s295_P2_794","s332_P2_760","s359_P2_950","s364_P2_972","s697_P2_870"
"DLK2",2.25e-05,5.81e-05,5.27e-05,9.57e-05,7.88e-05,0.000368814,0.000205045,0.00102715,1.37e-05,0.000116281,0.002873077,0.002510259
"DLL1",3.56e-05,3.41e-05,3.28e-06,8.39e-06,1.02e-05,9.96e-05,0.000178107,2.34e-05,4.66e-06,1.49e-05,3.06e-05,0.001630704
"DLL3",0,1.91e-05,0,6.29e-05,2.36e-05,0,0.000113141,0.000209648,3.77e-05,6.35e-06,0.001309187,0.000430631
"DLL4",0.000903309,5.02e-05,0.001124069,0.000191378,0.000812695,4.96e-05,0.000220994,0.000272058,0.00014809,0.00015546,0.000234344,5.66e-05
"DMD",8.16e-05,0.000719374,0.001202528,0.000604254,0.00019755,0.000809396,0.000668869,0.00119249,0.000171148,0.000237304,0.001514015,3.99e-05
"DNAJB4",0.0007396,0.000743629,0.000892659,0.000741754,0.000667357,0.000721365,0.001320829,0.000573658,0.000996622,0.000620873,0.001123443,0.007599985
"DNAJC9",0.076971378,0.015332501,0.034254541,0.006042437,0.06353326,0.0083972,0.058239887,0.023291446,0.053922363,0.020772701,0.03285478,0.121084191
"DNER",4e-05,4.22e-06,6.58e-06,1.38e-06,1.03e-05,1.64e-06,6.2e-06,0,0.000885536,1.93e-05,2.47e-06,1.2e-05
"DNM2",0.090906141,0.049231348,0.137505022,0.092909411,0.212922527,0.065513545,0.201294124,0.100439553,0.138196493,0.063889143,0.094961462,0.198437731
"DPEP1",0,8.15e-06,8.23e-07,0,3.8e-06,0,2.25e-06,4.33e-06,0,0,8.23e-07,0
"DPEP2",0,3.79e-06,0,5.31e-06,9.14e-06,0,0,3.79e-06,0,0,5.2e-06,1.22e-05
"DPEP3",0,0,0,0,0,0,0,2.05e-06,0,0,3.48e-06,0
"DPP10",0,0,0,0,0,2.14e-06,0.000308787,0,0,0.000794943,7.13e-07,0
"DPP4",0.010435431,0.001120946,0.032721234,0.010063358,0.005786707,0.000753041,0.000524247,0.009095582,0.00061542,0.002277308,0.024250928,0.000197838
"DPP6",3.8e-06,6.92e-06,2.03e-05,1.49e-06,1.9e-06,4.35e-06,2.98e-06,8.65e-06,7.44e-07,0,8.69e-06,1.27e-06
"DPY19L4",0.000531302,0.000332057,0.001858131,0.000312515,0.001150847,0.00079732,0.001107011,0.001084133,0.000897002,0.00065073,0.001052294,0.000824529
"DRD1",0,1.19e-05,0,4.3e-05,0,1.21e-05,1.34e-06,1.08e-06,0,0,0,1.56e-06
"DRD2",0,1.99e-05,0,0,0,6.24e-06,2.12e-05,0,0,1.81e-06,0,1.76e-05
