,tissueType,cellName,CellMarker,shortName,type
3665,Spleen,AFP_ALB positive cells,FGB,,other
3666,Spleen,AFP_ALB positive cells,VTN,,other
3667,Spleen,AFP_ALB positive cells,SLC2A2,,other
3668,Spleen,AFP_ALB positive cells,FGG,,other
3669,Spleen,AFP_ALB positive cells,MT1G,,other
3670,Spleen,AFP_ALB positive cells,ITIH1,,other
3671,Spleen,Lymphoid cells,RN7SL337P,,other
3672,Spleen,Lymphoid cells,KLRC4-KLRK1,,other
3673,Spleen,Lymphoid cells,RP11-553L6.2,,other
3674,Spleen,Lymphoid cells,RP11-861A13.4,,other
3675,Spleen,Lymphoid cells,RP11-38J22.6,,other
3676,Spleen,Lymphoid cells,ZNF860,,other
3677,Spleen,Lymphoid cells,RP11-693J15.5,,other
3678,Spleen,Lymphoid cells,RP11-61O1.1,,other
3679,Spleen,Lymphoid cells,FCRL3,,other
3680,Spleen,Lymphoid cells,CTD-2215E18.1,,other
3681,Spleen,Lymphoid cells,RP5-1028K7.2,,other
3682,Spleen,Lymphoid cells,IKZF3,,other
3683,Spleen,Lymphoid cells,LINC00861,,other
3684,Spleen,Lymphoid cells,IL9RP3,,other
3685,Spleen,Lymphoid cells,VAV3-AS1,,other
3686,Spleen,Myeloid cells,CLEC9A,,other
3687,Spleen,Myeloid cells,RP11-489O18.1,,other
3688,Spleen,Myeloid cells,RP3-522P13.3,,other
3689,Spleen,Myeloid cells,RP11-807H22.7,,other
3690,Spleen,Myeloid cells,RP11-1080G15.1,,other
3691,Spleen,Myeloid cells,FCN1,,other
3692,Spleen,Myeloid cells,EMR4P,,other
3693,Spleen,Myeloid cells,TMPRSS4-AS1,,other
3694,Spleen,Myeloid cells,RP11-157G21.2,,other
3695,Spleen,Myeloid cells,CSF2RA,,other
3696,Spleen,Myeloid cells,OSCAR,,other
3697,Spleen,Myeloid cells,RP3-522D1.1,,other
3698,Spleen,Myeloid cells,CD163L1,,other
3699,Spleen,Myeloid cells,RUFY4,,other
3700,Spleen,Myeloid cells,DLEU7-AS1,,other
3701,Spleen,Vascular endothelial cells,RP11-189E14.5,,other
3702,Spleen,Vascular endothelial cells,ODF3L2,,other
